Designator,Mid X,Mid Y,Rotation,Layer
C1,147.95,-108.7,180.0,bottom
C10,134.7,-94.975,0.0,bottom
C11,131.8,-92.3,270.0,bottom
C12,122.3125,-109.075,180.0,bottom
C13,140.725001,-106.8,270.0,bottom
C14,147.1,-97.15,0.0,top
C15,147.425,-95.35,90.0,top
C16,133.1125,-109.75,0.0,top
C17,131.300001,-109.75,0.0,top
C18,129.475001,-109.775,0.0,top
C19,127.637501,-109.775,0.0,top
C2,149.025,-103.05,90.0,bottom
C20,139.925,-107.6625,270.0,bottom
C3,142.7,-104.3025,270.0,top
C4,136.65,-108.0,180.0,bottom
C5,115.834547,-104.043506,90.0,bottom
C6,121.875,-106.0,90.0,bottom
C7,122.325,-109.675,180.0,bottom
C8,122.325,-107.8,180.0,bottom
C9,134.9125,-109.75,0.0,top
IC1,128.2,-100.45,270.0,top
IC2,117.9,-107.6,180.0,bottom
J1,144.7,-100.0,0.0,top
J2,145.1,-95.0,180.0,top
L1,142.675,-102.4025,270.0,top
L2,133.275,-108.425,270.0,bottom
L3,143.450001,-105.8875,180.0,bottom
L4,148.225,-95.75,90.0,top
Q1,138.6,-97.225,270.0,bottom
Q2,135.05,-97.225,90.0,bottom
R1,132.85,-106.35,180.0,bottom
R10,127.65,-100.8,270.0,bottom
R11,141.050001,-108.52,270.0,bottom
R12,140.4825,-109.775,0.0,bottom
R16,130.75,-97.1,270.0,bottom
R17,131.3,-99.7,180.0,bottom
R18,128.95,-100.8,270.0,bottom
R2,132.85,-105.25,180.0,bottom
R21,126.0,-97.65,0.0,bottom
R22,127.6,-94.325,180.0,bottom
R3,143.5,-103.4025,90.0,top
R6,114.9,-103.9325,90.0,bottom
R9,129.65,-100.8,270.0,bottom
U1,128.65,-98.15,0.0,bottom
U2,136.25,-104.85,90.0,bottom
U3,148.0875,-105.925,270.0,bottom
U4,143.450001,-108.1,180.0,bottom
U7,134.025,-92.9125,0.0,bottom
Y1,132.825,-103.3,270.0,bottom
